suite,stem,M,H,F,heads,layers,gpu_wall_p50_ms,hetero_wall_p50_ms,gpu_wall_p95_ms,hetero_wall_p95_ms,speedup,nrmse,cosine,gpu_reference_nrmse,hetero_reference_nrmse,quality_pass,process_s
heads,1024_1024_8_ane_L3,1024,1024,4096,16,3,24.300604,28.508271,24.631998,32.216998,0.852405,0.002217,0.999998,0.001453,0.002168,True,2.2795100830262527
heads,1024_1024_8_cpu_L1,1024,1024,4096,16,1,8.098437,22.863791,9.716703,25.861785,0.354204,0.000912,1.0,0.001086,0.001012,True,1.3553479160182178
heads,1024_1024_8_cpu_L2,1024,1024,4096,16,2,15.996562,44.802583,16.93477,46.756895,0.357046,0.001243,0.999999,0.00133,0.001255,True,2.572797708096914
heads,1024_1024_8_cpu_L3,1024,1024,4096,16,3,24.088,68.154958,25.161669,73.0043,0.35343,0.001419,0.999999,0.001453,0.00138,True,3.8426386250648648
heads,256_1024_4_ane_L1,256,1024,4096,16,1,2.624,4.077917,4.479264,4.822352,0.643466,0.001034,0.999999,0.001127,0.00123,True,0.5805549999931827
heads,256_1024_4_ane_L2,256,1024,4096,16,2,6.834521,7.669605,7.219012,8.214269,0.891118,0.001365,0.999999,0.001343,0.001473,True,0.6765756660606712
heads,256_1024_4_ane_L3,256,1024,4096,16,3,9.287229,11.281875,10.444602,13.099927,0.823199,0.001504,0.999999,0.001409,0.00155,True,0.9723967079771683
heads,256_1024_4_cpu_L1,256,1024,4096,16,1,2.837438,4.379459,4.599923,5.126133,0.647897,0.000809,1.0,0.001127,0.001089,True,0.4431216249940917
heads,256_1024_4_cpu_L2,256,1024,4096,16,2,6.528583,8.002187,6.909485,11.220913,0.81585,0.001134,0.999999,0.001343,0.001307,True,0.6659308329690248
heads,256_1024_4_cpu_L3,256,1024,4096,16,3,9.278167,11.553916,10.10836,13.865633,0.803032,0.001275,0.999999,0.001409,0.001378,True,0.9517455829773098
heads,256_1024_8_ane_L1,256,1024,4096,16,1,2.446479,3.189646,4.563315,4.80535,0.767007,0.001203,0.999999,0.001127,0.001314,True,0.4438522499985993
heads,256_1024_8_ane_L2,256,1024,4096,16,2,6.610437,7.438063,7.023717,7.697202,0.888731,0.00153,0.999999,0.001343,0.001562,True,0.651308250031434
heads,256_1024_8_ane_L3,256,1024,4096,16,3,9.313688,10.471083,10.02304,12.652938,0.889467,0.001669,0.999999,0.001409,0.001642,True,0.9484140840359032
heads,256_1024_8_cpu_L1,256,1024,4096,16,1,2.946042,5.028125,5.222671,5.849083,0.585913,0.000917,1.0,0.001127,0.00105,True,0.40201666695065796
heads,256_1024_8_cpu_L2,256,1024,4096,16,2,6.348604,8.396792,7.072117,8.901984,0.756075,0.001226,0.999999,0.001343,0.00127,True,0.6911489580525085
heads,256_1024_8_cpu_L3,256,1024,4096,16,3,9.488145,13.377583,11.615104,16.196446,0.709257,0.001355,0.999999,0.001409,0.001341,True,1.0346262500388548
heads,64_256_1_ane_L1,64,256,1024,4,1,0.41898,0.881125,1.410115,2.017354,0.475505,0.000883,1.0,0.001068,0.001113,True,0.16633820801507682
heads,64_256_1_ane_L2,64,256,1024,4,2,0.826,1.778541,2.426464,3.104217,0.464425,0.001198,0.999999,0.001254,0.001318,True,0.20295720803551376
heads,64_256_1_ane_L3,64,256,1024,4,3,1.259917,2.683729,2.963437,4.090336,0.469465,0.001329,0.999999,0.001322,0.001391,True,0.27985204209107906
heads,64_256_1_cpu_L1,64,256,1024,4,1,0.400104,0.881729,0.493279,2.741006,0.453773,0.000783,1.0,0.001068,0.001048,True,0.832909082993865
heads,64_256_1_cpu_L2,64,256,1024,4,2,0.827271,1.723792,2.509635,2.602012,0.479913,0.001086,0.999999,0.001254,0.001253,True,0.19235429097898304
heads,64_256_1_cpu_L3,64,256,1024,4,3,1.230959,2.746999,2.916067,4.102415,0.44811,0.001221,0.999999,0.001322,0.001315,True,0.2618325420189649
heads,64_256_2_ane_L1,64,256,1024,4,1,0.407729,0.799646,0.655962,1.970175,0.509888,0.001006,0.999999,0.001068,0.001163,True,0.16323104104958475
heads,64_256_2_ane_L2,64,256,1024,4,2,0.82702,1.655312,2.5212,3.070637,0.499616,0.001308,0.999999,0.001254,0.001401,True,0.200452083023265
heads,64_256_2_ane_L3,64,256,1024,4,3,1.620105,4.094229,5.876588,7.70139,0.395704,0.001417,0.999999,0.001322,0.001472,True,0.3733801670605317
heads,64_256_2_cpu_L1,64,256,1024,4,1,0.411458,0.790063,1.15724,1.789711,0.520792,0.065147,0.99788,0.001068,0.065126,False,0.13081258302554488
heads,64_256_2_cpu_L2,64,256,1024,4,2,0.787146,1.618501,2.493575,2.947667,0.486342,0.001174,0.999999,0.001254,0.001204,True,0.1787880000192672
heads,64_256_2_cpu_L3,64,256,1024,4,3,1.238042,2.458312,2.417744,3.833909,0.503615,0.001295,0.999999,0.001322,0.001274,True,0.24681683292146772
confirm,1024_1024_L1_private_sdpa_r0,1024,1024,4096,16,1,6.916833,7.679292,7.007439,8.094371,0.900712,0.005593,0.999984,0.000935,0.005647,True,0.9066055419389158
confirm,1024_1024_L1_private_sdpa_r1,1024,1024,4096,16,1,8.546812,8.403312,8.708429,10.493887,1.017077,0.005593,0.999984,0.000935,0.005647,True,1.025178457959555
confirm,1024_1024_L1_private_sdpa_r2,1024,1024,4096,16,1,6.94375,7.699916,7.089779,8.354614,0.901796,0.005593,0.999984,0.000935,0.005647,True,0.9054856250295416
confirm,1024_1024_L1_private_steel_r0,1024,1024,4096,16,1,8.190896,8.487104,8.550475,10.77794,0.965099,0.005593,0.999984,0.000934,0.005646,True,0.9955989170121029
confirm,1024_1024_L1_private_steel_r1,1024,1024,4096,16,1,8.188354,8.572354,8.328656,10.418457,0.955205,0.005593,0.999984,0.000934,0.005646,True,0.9888068749569356
confirm,1024_1024_L1_private_steel_r2,1024,1024,4096,16,1,6.558876,7.321,6.728825,7.890862,0.895899,0.005593,0.999984,0.000934,0.005646,True,0.8530693330103531
confirm,1024_1024_L1_public_sdpa_r0,1024,1024,4096,16,1,6.962625,5.264625,7.058779,5.405929,1.32253,0.005593,0.999984,0.000935,0.005647,True,1.1721905830781907
confirm,1024_1024_L1_public_sdpa_r1,1024,1024,4096,16,1,6.953542,5.301771,7.101477,5.634358,1.311551,0.005593,0.999984,0.000935,0.005647,True,0.7905519580235705
confirm,1024_1024_L1_public_sdpa_r2,1024,1024,4096,16,1,6.922354,5.27252,7.0859,5.421073,1.312912,0.005593,0.999984,0.000935,0.005647,True,0.7340839580865577
confirm,1024_1024_L1_public_steel_r0,1024,1024,4096,16,1,8.195334,5.869875,8.39,6.705006,1.396168,0.005593,0.999984,0.000934,0.005646,True,0.7542191670509055
confirm,1024_1024_L1_public_steel_r1,1024,1024,4096,16,1,8.237,6.589354,8.375281,6.868381,1.250047,0.005593,0.999984,0.000934,0.005646,True,0.8328790829982609
confirm,1024_1024_L1_public_steel_r2,1024,1024,4096,16,1,6.547375,4.898833,6.677408,5.03941,1.336517,0.005593,0.999984,0.000934,0.005646,True,0.6855264579644427
confirm,1024_1024_L2_private_sdpa_r0,1024,1024,4096,16,2,13.921584,15.875187,14.158085,19.189992,0.87694,0.007343,0.999973,0.001177,0.007375,True,1.797418416943401
confirm,1024_1024_L2_private_sdpa_r1,1024,1024,4096,16,2,13.893646,15.414021,14.116423,19.201385,0.901364,0.007343,0.999973,0.001177,0.007375,True,1.7603407920105383
